"TRAAAGF12903CEC202","Halvdan Sivertsen","Små Ord"
"TRBJJBS128F42ADB96","Darin","Who's that girl"
"TRBJJNC128F92E8C10","Lily Allen","Knock 'Em Out"
"TRBJJQC128EF3554E7","Tracey Thorn","It's All True"
"TRBJMYR128E0798AB4","Cali","Je Ne Vivrai Pas Sans Toi"
"TRBJNZF128F4278BFC","Lara Fabian","To Love Again (Si Tu M'Aimes)"
"TRBJOLV128F9310405","Five","Let's Dance"
"TRBJOPU128F9312542","Ysa Ferrer","Sens interdit"
"TRBJRAX128F92CA4FE","Ace of Base","Strange Ways"
"TRBJSDL128F9302C98","Darin","Runaway"
"TRBJSXU128F1452C87","Bananarama","I Love The Way"
"TRBJTPU128F92D0B99","Mai Tai","Body and Soul"
"TRBJVES128F4295F57","Samantha Fox","Hold On Tight"
"TRBJVPU128F42A2FEC","Lisa Stansfield","Don't Cry For Me"
"TRBJVVL128F931E1BF","Kylie Minogue","Red Blooded Woman"
"TRBJVVT128F92FF83D","Alesha Dixon","To Love Again"
"TRBJWIO128F148AFA1","Lisa Scott-Lee","Too Far Gone"
"TRBJWVY128F148846F","Girls Aloud","Something Kinda Ooooh"
"TRBJWWB128F92DFC72","Christina Aguilera","Without You"
"TRBJXDD128E0786E86","Agnetha Fältskog","Little White Secrets"
"TRBKDMF128F42675D0","DJ Project","Tell Me Why"
"TRBKFVR128F4295E82","Plüsch","Für Immer"
"TRBKGLE128F42B79E8","Army Of Lovers","Requiem"
"TRBKMAL128F92D5092","Britney Spears","...Baby One More Time"
"TRBKNBF128F92F372A","Michael Jackson","Workin' Day And Night"
"TRBKNKK12903CDA3EC","Roxette","(Do You Get) Excited?"
"TRBKONT128F93334EE","Telepopmusik","Tittsworth Remix"
"TRBKOPO128F42AE7A9","Paolo Meneguzzi","L'Albero Di Natale"
"TRBKOPP128F42B3724","Neil Diamond","Girl_ You'll Be A Woman Soon"
"TRBKPLJ128F4282324","Cher","Our Day Will Come"
"TRBKPRD128F14528D4","Bananarama","Look On The Floor (Yomanda Remix)"
"TRBKPYX128E0793403","Sophie Ellis-Bextor","Everything Falls Into Place"
"TRBKQRS128F425E594","Mark Ronson featuring Amy Winehouse","Valerie"
"TRBKRTH128E078A7EC","Madonna","Take A Bow (Album Version)"
"TRBKSVM128E0789753","Atomic Kitten","Tomorrow And Tonight"
"TRBKTRT128F42675A0","Colbie Caillat","The Little Things"
"TRBKTXM128F42637A7","Will To Power","Dreamin'"
"TRBKVEF128F4273636","a1","Like A Rose"
"TRBKWEC128F9365967","Universal Poplab","The Toast That Never Ends"
"TRBKWOC128F9316949","Britney Spears","If U Seek Amy"
"TRBKXEU128F14634F2","Sophie Ellis-Bextor","The Earth Shook The Devil's Hand"
"TRBKZXJ128F9324F16","the bird and the bee","Lifespan Of A Fly"
"TRBLCML128E078FC94","Espen Lind","Missing Her Then"
"TRBLFHP128F93124F3","Wild Strawberries","Wrong To Let You Go"
"TRBLFMQ128F425A043","George Michael","Older"
"TRBLFRH128F429F8A0","Britney Spears","Shadow"
"TRBLGOL128F1452888","Rachel Stevens","I Said Never Again (But Here We Are)"
"TRBLGVP128F92E5B81","Amandine Bourgeois","Chut"
"TRBLHUW12903CCB69E","Flanders","Time (Vincenzo Callea Radio Mix)"
"TRBLHVA128F92F62AC","Miley Cyrus","Simple Song"
"TRBLIOX128F1484C52","5000 Volts","I'm On Fire"
"TRBLMJP128F14988B7","Alizée","J'En Ai Marre"
"TRBLNQK128F42149CC","Sheryl Crow","Soak Up The Sun"
"TRBLNWB128F428A4D7","Christina Aguilera","Somebody's Somebody"
"TRBLOVU128F93218C0","McFly","Five Colours In Her Hair"
"TRBLPEZ128F9339CE3","Vanessa Hudgens","Committed"
"TRBLPLZ128F92F53AF","Christophe Willem","Elu Produit De L'Année"
"TRBLPRB128F14895C1","Frida Hyvönen","today_ tuesday"
"TRBLRBV128F934349B","Leevi and the leavings","Sadetanssi"
"TRBLRVS128F42B8557","Pascal Obispo","1980"
"TRBLSTM128F932D498","The Royal Teens","Short Shorts"
"TRBLTYB128F1469C9E","Julia Fordham","Manhattan Skyline"
"TRBLXDH128F42BBAA7","Il Divo","White Christmas"
"TRBLXPQ128F427FBD6","Natasha St-Pier","J'avais Quelqu'Un"
"TRBLYAR128E0796276","José Carreras And Sarah Brightman","Amigos Para Siempre - Friends For Life"
"TRBLZGX128F4291B62","Bucks Fizz","If You Can't Stand The Heat"
"TRBLZNM128F1494A1C","Cristina Donà","The Truman Show"
"TRBLZTP128F14531F9","Alanis Morissette","Still (Album Version)"
"TRBMADI128F42ACE83","Kate Nash","Dickhead"
"TRBMDMI128F4262400","Céline Dion","Des mots qui sonnent"
"TRBMEYU128F422BD3D","Just Jack","No Time"
"TRBMFRN128F92DD39F","Paolo Meneguzzi","Musica"
"TRBMGOF128F92E685D","Sara Bareilles","Between The Lines"
"TRBMHEL128F42364BF","Erasure","Sucker For Love (Extended Mix)"
"TRBMHJJ128F9306252","Ritchie Family","The Best Disco In Town"
"TRBMLWR128F148B0B3","Donna Summer","This Time I Know It's For Real"
"TRBMLZO128F42AB873","Donatella Rettore","Eroe"
"TRBMMSL128F42516FF","Rebecca Pidgeon","Tough On Crime"
"TRBMPQU12903D08147","Girls Aloud","Can't Speak French"
"TRBMPWC128F42410D2","Belinda","Noche Cool"
"TRBMQSS128F423A032","Jason Mraz","Love For A Child [From The Casa Nova Sessions]"
"TRBMRAI128F427B204","Adele","Chasing Pavements"
"TRBMVAR128F4288125","Zoegirl","Even If"
"TRBMVGW128F426A778","Céline Dion","Piaf chanterait du rock"
"TRBMXRJ12903D07304","Iyaz","Replay (Album Version)"
"TRBMXSA128F92D54FE","Jordin Sparks","Young And In Love"
"TRBMYGQ12903CB1EC9","Franek Kimono","Pola Monola + Coca Cola"
"TRBMZTG128F92DE4C9","La Oreja de Van Gogh","Un Cuento Sobre El Agua"
"TRBNBAU128F4272F7C","Chris De Burgh","A Woman's Heart"
"TRBNBHY128F92DCF44","Rosenstolz","Gib mir Sonne"
"TRBNCIN128F92F6D50","Deee-Lite","Heart Be Still (LP Version)"
"TRBNDAS128F93085E4","Jeff Timmons","Favorite Star"
"TRBNDOE128F428D033","Kylie Minogue","Breathe"
"TRBNFEF128F428631D","Tina Dico","In the Red"
"TRBNGTP128F429F7F4","Britney Spears featuring Ying Yang Twins","(I Got That) Boom Boom"
"TRBNHWP12903CC5907","Girls Aloud","Jump"
"TRBNITJ12903D12C2E","Kate Nash","Later On"
"TRBNKHA128F92E4303","Dido","Look No Further"
"TRBNKII128F932077A","Annie","Take You Home"
"TRBNLBX128F92CB2B5","Jonas Brothers","A Little Bit Longer"
"TRBNLRH12903CD11A1","First Choice","The Player"
"TRBNMTW12903D06112","4TROOPS","You'll Never Walk Alone"
"TRBNMZF128EF356E70","The Salsoul Orchestra","Salsoul Rainbow"
"TRBNPBY128F93229A0","Charlotte Perrelli","Hero"
"TRBNQTJ128F1486E85","Robbie Williams","The 90's"
"TRBNQWY128F4257C00","Kate Voegele","Might Have Been"
"TRBNTYZ128F42741C5","Bertrand Burgalat","Waiting For Rain"
"TRBNTZT128F425C1E5","Lindsay Lohan","If You Were Me"
"TRBNYQI128F422BC52","Elisa","Rock Your Soul"
"TRBOADH128F936525C","Frankmusik","Wonder Woman"
"TRBOCJN12903CC5F38","Sugababes","Get Sexy"
"TRBOCUK128F92EFC97","LFO","Every Other Time"
"TRBOEAS128F932FE7E","Britney Spears","From The Bottom Of My Broken Heart"
"TRBOEDI128C7196479","Busted","Everything I Knew"
"TRBOFTY128F14A37B1","DJ Bobo","Everybody"
"TRBOGEC128F425D9AD","Wilson Phillips","You're In Love"
"TRBOHSR128F4292A05","Alcazar","Celebrate The Night"
"TRBOHTW128F92D32E3","Cerrone","You are the one"
"TRBOIUO128F427F2FC","Anna Nalick","In My Head"
"TRBOMKV12903CE82AF","Amber","Heavenly Proximity"
"TRBOPBV128F42432CA","The Les Humphries Singers","Kansas City"
"TRBOTPD128F42335E9","Terra Naomi","Never Quite Discussed"
"TRBOTZU128E0798B3F","ANJA GARBAREK","Still Guarding Space"
"TRBOUDS128F14976BA","Alexz Johnson","Anyone But You"
"TRBOXZM128F42741AE","Bertrand Burgalat","Je suis seul dans ma chanson"
"TRBOZZN12903CFF4EF","Fitness Forever","Albertone"
"TRBPAUZ128F932D54E","The McGuire Sisters","Sincerely"
"TRBPCNX128F9338C24","Genki Rockets","Heavenly Star (Glorious Remix)"
"TRBPDLR128F92C5DD7","Katy Perry","Hot N Cold"
"TRBPEZO128F4299263","A Fine Frenzy","Rangers"
"TRBPFQW128F9304A3A","Jurga","The Longest Day"
"TRBPGYC128F92FD727","Céline Dion","Ne bouge pas"
"TRBPIZV128F92D32EA","Susan Aglukark","As Only A Heart Would Dare"
"TRBPKMI128F92E6F37","Rihanna","Disturbia"
"TRBPLXR128F1492D2C","McFly","Sorry's Not Good Enough"
"TRBPMWA128F93661FA","Evelyn Thomas","High Energy"
"TRBPNJA12903CBF8AB","Sophie Ellis-Bextor","Bittersweet"
"TRBPNPN128F92EC5F5","Céline Dion","All By Myself"
"TRBPNXC128F426591D","DJ Manian","Heat Of The Moment"
"TRBPORM12903CA9183","Kate Miller-Heidke","Ducks Don't Need Satellites"
"TRBPOSA128F428BA24","The Tamperer feat. Maya","Feel It"
"TRBPPQP128F4267D9D","Modestia Aparte","Tiempo para no pensar"
"TRBPPYU128F426894F","Hem","Half Acre"
"TRBPQUG128F428A645","Meryl Streep","The Winner Takes It All"
"TRBPUCY128F4278BC6","Lara Fabian","Till I Get Over You"
"TRBPWVZ128F4214A7E","Ashlee Simpson","Shadow"
"TRBPZAR128F428B926","Modern Talking","Anything Is Possible"
"TRBPZNY128F42A3823","Helena Paparizou","I Don't Want You Here Anymore (Anapandites Klissis)"
"TRBPZSZ12903D0C83C","Giorgio Moroder","I Wanna Rock You"
"TRBQANA128F14AE2CF","Bethany Dillon","The Way I See You"
"TRBQATV128F428FFD4","Melanie C","Fragile"
"TRBQBSD128F425972C","Prefab Sprout","Cue Fanfare"
"TRBQDIQ128E07914D8","Rihanna","Pon de Replay"
"TRBQEXC128F93126AB","September","It Doesn't Matter"
"TRBQFRS128F931FB03","Demi Lovato","The Middle"
"TRBQGIE128F9333F49","Selena Gomez","Fly To Your Heart"
"TRBQHIV128F92F8DAE","Eric Prydz","Pjanoo"
"TRBQIKR128F148BE55","Mariah Carey","We Belong Together"
"TRBQIOB128F4273B34","Scissor Sisters","Kiss You Off"
"TRBQIPV128F4293ECE","Kemopetrol","Saw It On TV"
"TRBQIWG128F92E15B0","Danielle Brisebois","Crawling"
"TRBQLVG128EF342DED","Lucie Silvas","Trying Not To Lose"
"TRBQMTA128F9311CD0","Rose Royce","Is It Love You're After"
"TRBQMVP128F4296E63","Idina Menzel","Defying Gravity [Josh Harris Radio Edit]"
"TRBQNEQ128F92CF2BE","Sugababes","Girls"
"TRBQOQH128F1462E50","Pet Shop Boys","Love Is A Catastrophe"
"TRBQOWX128F424DA43","Nancy Sinatra","I Love Them All (The Boys In The Band)"
"TRBQPHD128F93126AE","September","Good Times"
"TRBQSQG12903CBD7D3","Leona Lewis","Better in time"
"TRBQTKG128F427C7FC","Camille","Katie's Tea"
"TRBQVQX128E0793239","Boyzone","A Different Beat"
"TRBQZNI128F42AB052","Westlife","To Be Loved"
"TRBQZRB128F42AA6ED","Barry Manilow","It's A Miracle"
"TRBRBHN128F429DDEF","Fergie","Clumsy"
"TRBRBNT12903CF7CDD","Annie Lennox","Dark Road"
"TRBRBOS128F425EB40","Annie Lennox","Sing"
"TRBRCAM128F147B752","Everything But The Girl","You Lift Me Up"
"TRBRGIF128F429833A","Spice Girls","Time Goes By"
"TRBRJVC128F4277FB7","Johnny Logan","Stay"
"TRBRLOU128F148D670","Ronan Keating","Lost For Words"
"TRBRMAC128F92C1D08","Nick Lachey","What's Left Of Me"
"TRBROBG128F424D670","Jens Lekman","Kanske Ar Jag Kar i Dig"
"TRBROFT128F92F8769","Ke$ha","Boots &  Boys"
"TRBROST128F148C641","Stephanie Mills","Put Your Body In It"
"TRBROXW128F92F0EB9","Lou Christie","I'm Gonna Make You Mine"
"TRBRTTV128F933AF4C","Gwen Stefani","Wind It Up"
"TRBRUCX128EF35EF44","Coralie Clement","L'Enfer"
"TRBRUWO128E078A34B","The Mamas & The Papas","The \"In\" Crowd"
"TRBRVHU128F425EE6C","Natasha St-Pier","Je Fais Comme Si"
"TRBRVXP128F92CA9F7","Sarah McLachlan","Ben's Song"
"TRBRXVC128F92FBF90","The Jacksons","Blame It On The Boogie"
"TRBSAIC128E0793CCE","S Club 7","Two In A Million"
"TRBSBNC12903CC459E","Rihanna","Russian Roulette"
"TRBSCAX128F42B026D","Whitney Houston","It's Not Right But It's Okay"
"TRBSCZW128F4273A12","In-Grid","You kissed me"
"TRBSFOX128F42BCE61","Natasha Bedingfield","Lay Down"
"TRBSGRR128F9325F08","Hazell Dean","Love Pains"
"TRBSHHW128F9310121","Cascada","Evacuate The Dancefloor"
"TRBSHRP128F42A9F37","Backstreet Boys","Movin' On"
"TRBSHZC128E0793DC9","S Club 7","Cross My Heart"
"TRBSJOY128F42778CA","Charlotte Gainsbourg","Set Yourself On Fire"
"TRBSKVE128F147FC97","Phil Collins","If Leaving Me Is Easy"
"TRBSLRC128F932299F","Charlotte Perrelli","Bullet"
"TRBSMUK128F425EC28","Shayne Ward","Until You"
"TRBSOXM128F424E88D","Nek","Serenidad"
"TRBSPFF128E0780EAC","Sugababes","Stronger"
"TRBSPKS128E0795DFA","Rea_ Chris","I'M In My Car"
"TRBSQGZ128F9318B8F","Magic Affair","Energy Of Light"
"TRBSUYQ128F92E1FD7","Bjørn Eidsvåg","For Seint"
"TRBSWCE128F42556A1","Rihanna","Take A Bow"
"TRBSWRY128F42AAFA4","Charlotte Church","Moodswings (To Come At Me Like That)"
"TRBSWVL128F42615AB","Cuba Club","Suavemente"
"TRBTBRP128F4261819","Ann Lee","2 Times"
"TRBTCGO128F92F09B4","Bebe","La Bicha"
"TRBTCQM128F42A84B7","Radio Futura","Escuela De Calor"
"TRBTEKF128F92CC7BE","Sarah Whatmore","Smile"
"TRBTFAC128EF34275D","Bananarama","The Wild Life"
"TRBTGSQ128F4244805","Rocco Nocera","Reaction"
"TRBTGYK128F4262C72","Carole King","Been To Canaan"
"TRBTHRH12903CB2D22","POCAHONTAS","Where Do I Go From Here"
"TRBTKKU128E078E636","The Dynamic Superiors","Nowhere To Run"
"TRBTNDH128F14716C2","Grace Jones","The Hunter Gets Captured By The Game"
"TRBTNPR12903D13765","Adam Lambert","If I Had You"
"TRBTNQV128F92F430E","Racoon","Clean Again"
"TRBTNTT128F42AF13F","Peter Sommer","8-6-6-0"
"TRBTOQI128F427F851","Nena Daconte","No Paraba De Llover"
"TRBTPHG128F425A3C6","George Michael","Round Here"
"TRBTQGE128F425E8B3","Britney Spears","Freakshow"
"TRBTRAD128F42A964C","Kelly Clarkson","Since U Been Gone"
"TRBTTAF128F92E5D49","Darren Hayes","Dublin Sky"
"TRBTTVQ128F4263C8F","Weird Al\" Yankovic","Party At The Leper Colony"
"TRBTVET128F42AD778","Kelly Clarkson","Because Of You"
"TRBTWXE128F933EF94","KT Tunstall","Hold On"
"TRBTXKO128F4285645","Ed Ames","My Cup Runneth Over"
"TRBTXSO128F92C307B","El Canto del Loco","La Suerte De Mi Vida"
"TRBTXVE128F426D2EB","Gary Puckett & The Union Gap","Woman Woman"
"TRBTZLX128F147997B","Duncan James","Letter To God"
"TRBUAJF128F425E5AB","Whitney Houston","Run To You"
"TRBUBHD128F933B49E","Pet Shop Boys","Being Boring (2001 Digital Remaster)"
"TRBUBNI128F92EF26F","Samantha Fox","To Be Heard"
"TRBUDFS128F148BD58","Michael Jackson","Love Is Here And Now You're Gone"
"TRBUFKP128E078BD4B","C-Block","So Strung Out - Extended Version"
"TRBUGUQ128F92C48AA","The White Tie Affair","Allow Me To Introduce Myself...Mr. Right"
"TRBUIFE128EF34E034","Bethany Dillon","When You Love Someone"
"TRBUJAC128F92DE866","Scandinavian Music Group","Näin minä vihellän matkallani"
"TRBUOJY128F423895D","Irene Grandi","Sotto Le Stelle"
"TRBUOZR128F1452C8B","Bananarama","Really Saying Something"
"TRBUPUA128F147F1C9","Las Ketchup","El neceser de mi Paco"
"TRBUQCV128F4287F2B","Barry Manilow","I Made It Through The Rain"
"TRBUQMJ128F92FAD9F","Kate Voegele","Sweet Silver Lining"
"TRBUSOR128F9306AC8","2raumwohnung","Rette Mich Später"
"TRBUTOL128F42AD884","Britney Spears","Someday (I Will Understand) - Hi Bias Signature Radio Remix"
"TRBUUDU128F42A0DC1","Ania","Gangsta"
"TRBUULS128F1465527","Atomic Kitten","Get Real"
"TRBUVQI128F425A632","Bay City Rollers","Rebel Rebel"
"TRBUWMB128F4291BED","Alcazar","Physical"
"TRBUYKM128F425E59F","Sara Groves","You Are Wonderful"
"TRBUZAJ128F148CCD9","Niccolò Fabi","Il Vento"
"TRBUZIQ128F92E9502","Anna Järvinen","Kan Du Gå"
"TRBVBVC128EF343F3E","Fancy","Slice Me Nice '98"
"TRBVCJD128F92EFEDE","Abba","The Piper"
"TRBVDDN128E0789BEB","Tiziano Ferro","No Me Lo Puedo Explicar"
"TRBVDLP12903CA9514","Natalie Gauci","Apologize"
"TRBVGSN128F42790D6","Charlotte Church","The Water Is Wide"
"TRBVLNN128F9333F97","Ronan Keating","River"
"TRBVNDS128F4298330","Spice Girls","Last Time Lover"
"TRBVNOB128F426BE30","Stacie Orrico","So Simple"
"TRBVQIP128F42AB39F","Ricki-Lee","Sunshine"
"TRBVRSF128F92D5D2F","Eoghan Quigg","Does Your Mother Know"
"TRBVVDN12903D06A07","Heidi Montag","Fanatic"
"TRBVVSL128F92D7E44","Mandisa","Little Drummer Boy"
"TRBVWTQ128F427DEDA","Merche","Y Si Ya No Estás"
"TRBVXVV128F933CB11","R.I.O.","After The Love"
"TRBVYMR128F92F4BC4","Sophie Zelmani","Fade"
"TRBWBHY12903CE6E3A","Anna Ternheim","I Say No"
"TRBWBPJ128F42A4ADC","Avril Lavigne","Nobody's Fool"
"TRBWEAJ128F42AF686","Yvonne Catterfeld","Glaub an mich"
"TRBWFRR128F14A2D2D","Zazie","Larsen"
"TRBWIIC128F4260D62","Céline Dion","Alone"
"TRBWIQP128F42BCC42","La Oreja de Van Gogh","En Mi Lado Del Sofá"
"TRBWIZB128F425A66B","Mariah Carey featuring Westlife","Against All Odds (Take A Look At Me Now)"
"TRBWJMH128F92F5DE7","George Michael","Star People '97"
"TRBWMAD128F1452959","Richard X Vs Liberty X","Being Nobody"
"TRBWNDR128F145F7C6","Funkstar De Luxe","All The Time"
"TRBWOEI128F92EB3D5","David Archuleta","Running"
"TRBWOST128F425E518","Niels Frevert","Niendorfer Gehege"
"TRBWOYN128F14AB130","Herbert Grönemeyer","Schmetterlinge Im Eis"
"TRBWQED128F145C202","Atomic Kitten","Locomotion"
"TRBWRCI128F42AE3C5","Lee Ryan","Miss My Everything"
"TRBWTFA128F425DB60","Tiromancino","Amore Impossibile"
"TRBWTXD128E078E633","Tata Vega","Get It Up For Love"
"TRBWUFB128F429A3F0","Marquess","Dove ti porta"
"TRBWUGN128F4292871","M People","Colour My Life"
"TRBWVLJ128F42A3DF6","M People","Search For The Hero"
"TRBWXAX128F93049CB","Kelly Clarkson","Irvine"
"TRBWYAA128F148BDA3","Samantha Mumba","Lately"
"TRBXADA128F9316C50","The Pussycat Dolls","When I Grow Up"
"TRBXADY12903CA1133","Abba","When All Is Said And Done"
"TRBXDUJ128E0783E31","Gwen Stefani","The Real Thing"
"TRBXEHK128F92E41CD","Leon Jackson","Don't Call This Love"
"TRBXEKE128F4255978","Xavier Naidoo","Eigentlich gut"
"TRBXEMS128F14AE2CB","Bethany Dillon","Airplane"
"TRBXEYG128F9301150","Alesha Dixon","I'm Thru"
"TRBXFRD128E0784ECD","The Corrs","Confidence For Quiet (album version)"
"TRBXFYO128E07915E8","All Saints","Beg"
"TRBXHFM128F42AA0A5","The Nolans","Who's Gonna Rock You"
"TRBXHJQ128F932DE0B","PMMP","Lautturi"
"TRBXHNL128F4295F05","Backstreet Boys","Spanish Eyes"
"TRBXJYZ128F92DB5ED","La Oreja de Van Gogh","El Ultimo Vals"
"TRBXKNI128F1465A7C","Atomic Kitten","Feels So Good"
"TRBXKOU128F92CA53B","Ace of Base","Dimension Of Depth"
"TRBXMEI128F421D479","Loose Joints","Is It All Over My Face? (Female Vocal)"
"TRBXMIP128F14A37CD","DJ Bobo","Love Is The Price"
"TRBXNLN128F4249D2D","KC & The Sunshine Band","I Can't Forget"
"TRBXNZY128F93321EE","Jem","Save Me"
"TRBXOXS128E079124B","Carpenters","Bless The Beasts And Children"
"TRBXQNB128F422BC38","Elisa","Happiness Is Home"
"TRBXRDE128F427EA81","Julee Cruise","The World Spins"
"TRBXRQZ128F4267F47","Karla Bonoff","I Can't Hold On"
"TRBXSNK128F933571F","Fat & Frantic","I Wish"
"TRBXURA128F4271044","Pur","Freunde"
"TRBXVEA12903CD2DCA","Justin Bieber","Stuck In The Moment"
"TRBXVWC128F14A94F3","Robbie Williams","She's Madonna (Kris Menace Vocal Re-Interpretation)"
"TRBXXZE128F9308B8D","Jessica Folcker","Hot Night"
"TRBXYQC128E078A443","Rachel Stevens","So Good"
"TRBXZAY128F930C03B","Marsha Raven","That Jealous Sensation"
"TRBYBKH128F4263FD4","Boyzone","Father And Son"
"TRBYDHO128F428DDDB","Marco Masini","Vai Male A Scuola"
"TRBYEVD128F423AB46","Kim Carnes","Just To See You Smile"
"TRBYFHD128F4226A01","RyanDan","Like The Sun"
"TRBYGLO128F92E4141","Bucks Fizz","Another Night"
"TRBYHJO128F1480973","Paris Hilton","Heartbeat (Album Version)"
"TRBYJVE128F145CB0B","Louise","Love Will Bring You Back To Me"
"TRBYKPU128F4294093","Siobhan Donaghy","Goldfish"
"TRBYLDI128F92E57B7","Anne Linnet","Jeg Ka' Ik' Sig' Nej Til Dig"
"TRBYMSV128F1463510","Daniel Bedingfield","Friday"
"TRBYPDJ128F932CDAA","Alex Party","Don't Give Me Your Life"
"TRBYQBZ128F4270FA6","The Hot Toddies","Ocean"
"TRBYRFR128F930D4DB","Michael Jackson","2 Bad"
"TRBYRNE128F422B8DE","Yvonne Elliman","If I Can't Have You"
"TRBYRNL128F42B4826","Scissor Sisters","Laura"
"TRBYTKU128E07915E7","All Saints","Trapped"
"TRBYUKF128F92C1D06","Jessica Simpson","A Public Affair"
"TRBYUQV128F1452441","Cher","What About The Moonlight"
"TRBYUZR128F92D32BA","Cerrone","Hooked on you"
"TRBYVLE128F426070D","Cher","Come To Your Window (1995 Digital Remaster)"
"TRBYYES128F92FCA09","Westlife","Total Eclipse Of The Heart"
"TRBZEFP128F9319DA9","Delta Goodrem","Last Night On Earth"
"TRBZEVW128F931BE83","Lily Allen","Not Fair (Clean Radio Edit)"
"TRBZEWA128F1461A95","Louise","2 Faced"
"TRBZFIT128F1477434","Dina Carroll","Falling"
"TRBZGGC12903CBF7DA","Sam Brown","Can I Get A Witness"
"TRBZJLT128F9343D9C","A-Ha","What There Is"
"TRBZJTM12903CFE941","La Casa Azul","Chicle Cosmos"
"TRBZKDX128F4255A4A","LU","Por Besarte"
"TRBZKRY128F933B77A","Daryl Hall","Money Changes Everything"
"TRBZNXC128F1452318","East 17","Best Days"
"TRBZOFM128EF3672E7","NU VIRGOS","Till The Morning Light"
"TRBZPAN128F92E509A","Mis-Teeq","Can't Get It Back (Ignorants Radio Edit)"
"TRBZPTV12903CAF0B7","Vita Chambers","Young Money"
"TRBZRJJ128F92F0558","Justin Timberlake","LoveStoned/I Think She Knows"
"TRBZSKF128F92DF6E1","Evelyn \"Champagne\" King","Shame"
"TRBZTMR128F427CC10","The Fleetwoods","Runaround"
"TRBZUKN128F92C677E","Melendi","Los Premios Pinocho"
"TRBZUPO128F4247F92","Maroon 5","If I Never See Your Face Again"
"TRBZWGK128F92FDB31","Britney Spears","Mannequin"
"TRBZXKW128F9342AA5","Michael Jackson","Touch The One You Love"
"TRBZXVE128F92C789C","New Kids On The Block","One Song"
"TRBZXVR128F92F750F","Steps","Deeper Shade Of Blue"
"TRBZZKG128F4259A48","Alison Moyet","Love Letters"
"TRCAAIN128F4234ED9","Maga","Agosto Esquimal"
"TRCABEE128F145864C","Belinda Carlisle","Deep Deep Ocean"
"TRCABEF128F42ADEA0","Emma Roberts","Mexican Wrestler"
"TRCABOR12903CEE22B","Markus Krunegård","Lika barn leka bra"
"TRCACCO128E0789D1C","Lene Marlin","Leave My Mind"
"TRCACKJ128F4251355","Kinnie Starr","Alright"
"TRCADQG12903CEE65B","Fyfe Dangerfield","She's Always A Woman"
"TRCAEOJ128F428372A","Bros","Silent Night"
"TRCAEUQ128F4263F01","Weird Al Yankovic","Polka Power!"
"TRCAFEH128E0793E1F","Carpenters","Love Is Surrender"
"TRCAGTS12903CB5FD2","Adie","Seek You"
"TRCAHET128F4267FB8","Melody Club","Cats In The Dark"
"TRCAHMP128F93372BE","Grégory Lemarchal","A Corps Perdu"
"TRCAHTU128F429C356","Spice Girls","Walk Of Life"
"TRCAHYS128E0792EF1","Burt Bacharach","Pacific Coast Highway"
"TRCAJIR128F9348E70","Abba","Voulez-Vous"
"TRCAJSM128F14650D7","Atomic Kitten","I Won't Be There"
"TRCAQFQ128F145B455","Corey Hart","Can't Help Falling In Love"
"TRCAQXK128F92EB3DA","David Archuleta","Angels"
"TRCARKV128EF348F78","Cher","The Long And Winding Road"
"TRCAULG128F92D2F31","Boyzone","Love Me For A Reason"
"TRCAVHH128F42915CA","Boney M. 2000","Ma Baker"
"TRCAVJZ12903CD6E12","Selena Gomez & The Scene","Naturally"
"TRCAVOE128F42823D4","Kyle Riabko","Miss Behavin'"
"TRCAXPM128F9304211","Marc Anthony","I Need You"
"TRCAZVQ128F428EECC","Boney M.","Papa Chico"
"TRCBDFH128E0789752","Atomic Kitten","Follow Me"
"TRCBDGX128F92C2EFD","Michael Jackson","Blood On The Dance Floor"
"TRCBEQU128F9304A34","Jurga","Pilnatis"
"TRCBFOK128F425A83C","Bertine Zetlitz","Wicked Wonderboys"
"TRCBHLT128F147FCB1","Phil Collins","True Colours"
"TRCBIVP128F92EC529","Michelle Tumes","For The Glory Of Your Name"
"TRCBJJW128F42647A1","Kurt Nilsen","Last Day Of Summer"
"TRCBJZD128F9302B2A","Bonnie Raitt","I Can't Make You Love Me"
"TRCBLEN12903CFA523","Village People","I Am What I Am"
"TRCBMRC12903CED68B","Scandinavian Music Group","Hölmö rakkaus"
"TRCBMXZ128F42659E3","Wilson Phillips","It's Only Life"
"TRCBNEE128F42B9517","Lulu Lewe","Crush On You"
"TRCBNKL128F42A753E","Marc Lavoine","Même Si"
"TRCBNMT128F9306AD6","2raumwohnung","Alles Aus"
"TRCBOUR128EF3443BB","Deluxe","Tendremos Que Esperar"
"TRCBPRJ128F92DEDBD","Olivia Ruiz","Non-Dits"
"TRCBPYE12903CF78C2","Leigh Nash","Angel Tonight"
"TRCBQDZ128F14949F9","Cristina Donà","Piccola Faccia"
"TRCBRES128F14923A8","Carpenters","Jingle Bells"
"TRCBSAM128E0791930","Mama Cass","Make Your Own Kind Of Music"
"TRCBSOO128F425A569","Håkan Hellström","Ramlar"
"TRCBSWD128EF348F73","Cher","Rescue Me"
"TRCBSXB128F933ACAD","Gwen Stefani / Johnny Vulture","Bubble Pop Electric"
"TRCBWFL128F93126A6","September","Looking For Love"
"TRCBXWS128F92F8EED","Roxette","The Centre Of The Heart"
"TRCCASH12903CB5930","A-Ha","Foot Of The Mountain"
"TRCCBCC128F9311C3D","Stephanie Smith","Superstar"
